event_date,wiki,event_hour,change_type,total_events,bot_events
5/26/2026,anwiki,0,categorize,29,0
5/26/2026,anwiki,0,edit,1,0
5/26/2026,arwiki,0,categorize,14,13
5/26/2026,arwiki,0,edit,21,17
5/26/2026,arwiki,0,log,2,0
5/26/2026,azwiki,0,edit,1,1
5/26/2026,bewiki,0,edit,1,1
5/26/2026,bgwiki,0,categorize,1,1
5/26/2026,bgwiki,0,edit,3,3
5/26/2026,bnwiki,0,edit,1,1
5/26/2026,bnwikibooks,0,log,1,0
5/26/2026,bswiki,0,categorize,1,1
5/26/2026,bswiki,0,edit,1,1
5/26/2026,cawiki,0,edit,1,1
5/26/2026,cewiki,0,categorize,39,39
5/26/2026,cewiki,0,edit,229,229
5/26/2026,commonswiki,0,categorize,544,133
5/26/2026,commonswiki,0,edit,754,666
5/26/2026,commonswiki,0,log,46,11
5/26/2026,commonswiki,0,new,13,0
5/26/2026,cswiki,0,categorize,1,1
5/26/2026,cswiki,0,edit,2,2
5/26/2026,cywiki,0,edit,11,11
5/26/2026,dewiki,0,categorize,10,3
5/26/2026,dewiki,0,edit,12,6
5/26/2026,dewiki,0,log,1,0
5/26/2026,dewiki,0,new,2,0
5/26/2026,dsbwiki,0,edit,1,1
5/26/2026,elwiki,0,edit,2,2
5/26/2026,enwiki,0,categorize,124,2
5/26/2026,enwiki,0,edit,233,31
5/26/2026,enwiki,0,log,25,0
5/26/2026,enwiki,0,new,8,0
5/26/2026,enwikibooks,0,log,1,0
5/26/2026,enwikisource,0,categorize,4,0
5/26/2026,enwikisource,0,edit,5,2
5/26/2026,enwiktionary,0,categorize,13,13
5/26/2026,enwiktionary,0,edit,1,0
5/26/2026,enwiktionary,0,log,1,0
5/26/2026,enwiktionary,0,new,3,3
5/26/2026,eowiki,0,edit,1,0
5/26/2026,eowiki,0,log,2,0
5/26/2026,eswiki,0,categorize,6,0
5/26/2026,eswiki,0,edit,31,11
5/26/2026,eswiki,0,log,5,0
5/26/2026,eswiki,0,new,2,2
5/26/2026,eswikisource,0,categorize,4,4
5/26/2026,eswikisource,0,edit,21,21
5/26/2026,fiwiki,0,edit,4,0
5/26/2026,foundationwiki,0,new,1,0
5/26/2026,frwiki,0,categorize,8,0
5/26/2026,frwiki,0,edit,17,13
5/26/2026,frwiki,0,new,1,0
5/26/2026,frwikisource,0,edit,1,0
5/26/2026,hawiki,0,categorize,3,0
5/26/2026,hawiki,0,new,1,0
5/26/2026,hewiki,0,categorize,1,1
5/26/2026,hewiki,0,edit,5,1
5/26/2026,hrwiki,0,edit,1,0
5/26/2026,huwiki,0,categorize,5,5
5/26/2026,huwiki,0,edit,5,4
5/26/2026,huwiki,0,log,1,1
5/26/2026,hywiki,0,categorize,1,1
5/26/2026,hywiki,0,edit,3,3
5/26/2026,idwiki,0,categorize,4,0
5/26/2026,idwiki,0,edit,3,1
5/26/2026,idwiki,0,new,2,2
5/26/2026,incubatorwiki,0,new,1,0
5/26/2026,itwiki,0,edit,4,0
5/26/2026,itwiki,0,new,1,0
5/26/2026,itwikivoyage,0,edit,1,0
5/26/2026,itwiktionary,0,categorize,36,36
5/26/2026,itwiktionary,0,new,12,12
5/26/2026,jawiki,0,categorize,1,0
5/26/2026,jawiki,0,edit,9,1
5/26/2026,jawiki,0,log,4,0
5/26/2026,kawiki,0,edit,1,1
5/26/2026,kowiki,0,edit,5,0
5/26/2026,kowiki,0,log,1,0
5/26/2026,metawiki,0,edit,2,0
5/26/2026,mgwiktionary,0,categorize,1,1
5/26/2026,mgwiktionary,0,edit,1,1
5/26/2026,minwikisource,0,categorize,2,0
5/26/2026,minwikisource,0,edit,1,0
5/26/2026,nlwiki,0,categorize,2,2
5/26/2026,nlwiki,0,edit,3,0
5/26/2026,nlwiki,0,log,2,0
5/26/2026,nlwiki,0,new,1,1
5/26/2026,nowiki,0,categorize,2,1
5/26/2026,nowiki,0,edit,3,1
5/26/2026,plwiki,0,edit,3,2
5/26/2026,ptwiki,0,categorize,6,0
5/26/2026,ptwiki,0,edit,2,0
5/26/2026,ptwiki,0,new,1,0
5/26/2026,rowiki,0,categorize,2,0
5/26/2026,rowiki,0,edit,2,0
5/26/2026,ruwiki,0,edit,5,2
5/26/2026,ruwiki,0,log,4,2
5/26/2026,ruwikivoyage,0,edit,1,0
5/26/2026,sdwiki,0,edit,1,1
5/26/2026,simplewiki,0,edit,5,4
5/26/2026,skwiki,0,edit,1,0
5/26/2026,specieswiki,0,edit,2,2
5/26/2026,sqwiki,0,edit,1,0
5/26/2026,srwiki,0,edit,1,0
5/26/2026,svwiki,0,edit,2,0
5/26/2026,swwiki,0,categorize,6,0
5/26/2026,swwiki,0,new,1,0
5/26/2026,tewiki,0,categorize,3,0
5/26/2026,tewiki,0,edit,3,0
5/26/2026,tewiki,0,new,1,0
5/26/2026,thwiki,0,categorize,1,0
5/26/2026,thwiki,0,edit,5,0
5/26/2026,trwiki,0,categorize,1,1
5/26/2026,trwiki,0,edit,3,2
5/26/2026,trwiktionary,0,edit,1,0
5/26/2026,ttwiki,0,edit,1,1
