wiki,change_type,total_events,bot_events,human_events,bot_share,automation_score
zhwikisource,categorize,857,857,0,1.0,6.754604099487962
commonswiki,edit,754,666,88,0.883289124668435,5.853307720158953
cewiki,edit,229,229,0,1.0,5.438079308923196
zhwikisource,new,162,162,0,1.0,5.093750200806762
cewiki,categorize,39,39,0,1.0,3.6888794541139363
itwiktionary,categorize,36,36,0,1.0,3.6109179126442243
eswikisource,edit,21,21,0,1.0,3.091042453358316
urwiki,edit,19,19,0,1.0,2.995732273553991
enwiktionary,categorize,13,13,0,1.0,2.6390573296152584
zhwikisource,edit,12,12,0,1.0,2.5649493574615367
itwiktionary,new,12,12,0,1.0,2.5649493574615367
arwiki,categorize,14,13,1,0.9285714285714286,2.5146180438806236
arwiki,edit,21,17,4,0.8095238095238095,2.5022724622424466
cywiki,edit,11,11,0,1.0,2.4849066497880004
zhwikisource,log,10,10,0,1.0,2.3978952727983707
frwiki,edit,17,13,4,0.7647058823529411,2.210284285450008
commonswiki,categorize,544,133,411,0.24448529411764705,1.5404494681805356
dewiki,edit,12,6,6,0.5,1.2824746787307684
eswiki,edit,31,11,20,0.3548387096774194,1.2297772558321611
commonswiki,log,46,11,35,0.2391304347826087,0.9206874699741444
enwiki,edit,233,31,202,0.13304721030042918,0.7258152556913681
dewiki,categorize,10,3,7,0.3,0.7193685818395111
wikidatawiki,edit,578,54,524,0.09342560553633218,0.5943085359670273
enwiki,categorize,124,2,122,0.016129032258064516,0.07787602802100486
anwiki,categorize,29,0,29,0.0,0.0
commonswiki,new,13,0,13,0.0,0.0
enwiki,log,25,0,25,0.0,0.0
