wiki,total_events,entropy,num_change_types,max_entropy,normalized_entropy,dominant_change_type,dominant_events,dominant_share
huwiki,11,0.9347698978582794,3,1.0986122886681098,0.8508642289005679,categorize,5,0.45454545454545453
itwiktionary,48,0.5623351446188083,2,0.6931471805599453,0.8112781244591328,categorize,36,0.75
zhwiki,17,0.868719682914265,3,1.0986122886681098,0.7907427323313919,categorize,9,0.5294117647058824
arwiki,37,0.8469160702678624,3,1.0986122886681098,0.7708962288184593,edit,21,0.5675675675675675
dewiki,25,1.0496348213275466,4,1.3862943611198906,0.7571514757368123,edit,12,0.48
jawiki,14,0.8304717124362917,3,1.0986122886681098,0.7559279292634754,edit,9,0.6428571428571429
frwiki,26,0.7657827233140067,3,1.0986122886681098,0.6970454738335348,edit,17,0.6538461538461539
enwiki,390,0.9279049397109318,4,1.3862943611198906,0.6693419274686669,edit,233,0.5974358974358974
eswiki,44,0.906061359425119,4,1.3862943611198906,0.6535851149918659,edit,31,0.7045454545454546
eswikisource,25,0.439669879401343,2,0.6931471805599453,0.6343095546405662,edit,21,0.84
enwiktionary,18,0.854806284951481,4,1.3862943611198906,0.6166123941101099,categorize,13,0.7222222222222222
commonswiki,1357,0.8522091973049282,4,1.3862943611198906,0.614738991375892,edit,754,0.5556374355195284
cewiki,268,0.4148629394176586,2,0.6931471805599453,0.5985207053464746,edit,229,0.8544776119402985
urwiki,23,0.559834325921902,3,1.0986122886681098,0.5095831638663089,edit,19,0.8260869565217391
zhwikisource,1041,0.5456972671996567,4,1.3862943611198906,0.3936373706078022,categorize,857,0.8232468780019212
anwiki,30,0.1461447460085638,2,0.6931471805599453,0.21084230031853216,categorize,29,0.9666666666666667
wikidatawiki,593,0.13546320259054154,3,1.0986122886681098,0.12330392076240912,edit,578,0.9747048903878583
cywiki,11,0.0,1,0.0,0.0,edit,11,1.0
