event_date,event_hour,wiki,total_events,wiki_avg_hourly_events,wiki_std_hourly_events,z_score
5/26/2026,0,anwiki,30,30.0,0.0,0.0
5/26/2026,0,arwiki,37,37.0,0.0,0.0
5/26/2026,0,cewiki,268,268.0,0.0,0.0
5/26/2026,0,commonswiki,1357,1357.0,0.0,0.0
5/26/2026,0,cywiki,11,11.0,0.0,0.0
5/26/2026,0,dewiki,25,25.0,0.0,0.0
5/26/2026,0,enwiki,390,390.0,0.0,0.0
5/26/2026,0,enwikisource,9,9.0,0.0,0.0
5/26/2026,0,enwiktionary,18,18.0,0.0,0.0
5/26/2026,0,eswiki,44,44.0,0.0,0.0
5/26/2026,0,eswikisource,25,25.0,0.0,0.0
5/26/2026,0,frwiki,26,26.0,0.0,0.0
5/26/2026,0,hewiki,6,6.0,0.0,0.0
5/26/2026,0,huwiki,11,11.0,0.0,0.0
5/26/2026,0,idwiki,9,9.0,0.0,0.0
5/26/2026,0,itwiki,5,5.0,0.0,0.0
5/26/2026,0,itwiktionary,48,48.0,0.0,0.0
5/26/2026,0,jawiki,14,14.0,0.0,0.0
5/26/2026,0,kowiki,6,6.0,0.0,0.0
5/26/2026,0,nlwiki,8,8.0,0.0,0.0
5/26/2026,0,nowiki,5,5.0,0.0,0.0
5/26/2026,0,ptwiki,9,9.0,0.0,0.0
5/26/2026,0,ruwiki,9,9.0,0.0,0.0
5/26/2026,0,simplewiki,5,5.0,0.0,0.0
5/26/2026,0,swwiki,7,7.0,0.0,0.0
5/26/2026,0,tewiki,7,7.0,0.0,0.0
5/26/2026,0,thwiki,6,6.0,0.0,0.0
5/26/2026,0,urwiki,23,23.0,0.0,0.0
5/26/2026,0,viwiktionary,6,6.0,0.0,0.0
5/26/2026,0,wikidatawiki,593,593.0,0.0,0.0
5/26/2026,0,zhwiki,17,17.0,0.0,0.0
5/26/2026,0,zhwikisource,1041,1041.0,0.0,0.0
