wiki,raw_total_events,user_unique_count,user_top1_share,user_metric_total_events,user_top10_events,user_hhi,user_top10_share,page_unique_count,page_top1_share,page_metric_total_events,page_top10_events,page_hhi,page_top10_share,average_top10_share
"Derbyshire (14) - 15 May 2026.jpg</a> added to category\""",10,10,0.1,10,10,0.10000000000000003,1.0,1,1.0,10,10,1.0,1.0,1.0
"\""timestamp\"":1779753899",15,3,0.6666666666666666,15,15,0.52,1.0,4,0.6666666666666666,15,15,0.4933333333333333,1.0,1.0
"\""timestamp\"":1779753896",24,3,0.6666666666666666,24,24,0.53125,1.0,3,0.6666666666666666,24,24,0.53125,1.0,1.0
"\""timestamp\"":1779753897",24,3,0.7916666666666666,24,24,0.6493055555555555,1.0,4,0.4166666666666667,24,24,0.3368055555555556,1.0,1.0
"\""timestamp\"":1779753911",10,2,0.9,10,10,0.8200000000000001,1.0,2,0.9,10,10,0.8200000000000001,1.0,1.0
"\""timestamp\"":1779753912",19,2,0.9473684210526315,19,19,0.9002770083102491,1.0,2,0.9473684210526315,19,19,0.9002770083102491,1.0,1.0
"\""timestamp\"":1779753909",23,2,0.5652173913043478,23,23,0.5085066162570888,1.0,3,0.43478260869565216,23,23,0.3724007561436673,1.0,1.0
"\""timestamp\"":1779753898",20,4,0.45,20,20,0.41000000000000003,1.0,4,0.45,20,20,0.41000000000000003,1.0,1.0
"\""timestamp\"":1779753903",10,2,0.9,10,10,0.8200000000000001,1.0,2,0.9,10,10,0.8200000000000001,1.0,1.0
"\""timestamp\"":1779753905",19,2,0.9473684210526315,19,19,0.9002770083102491,1.0,2,0.9473684210526315,19,19,0.9002770083102491,1.0,1.0
"\""timestamp\"":1779753907",13,3,0.6923076923076923,13,13,0.5384615384615384,1.0,3,0.6923076923076923,13,13,0.5384615384615384,1.0,1.0
"\""timestamp\"":1779753906",10,1,1.0,10,10,1.0,1.0,1,1.0,10,10,1.0,1.0,1.0
"\""timestamp\"":1779753914",18,3,0.5555555555555556,18,18,0.4135802469135803,1.0,3,0.5555555555555556,18,18,0.4135802469135803,1.0,1.0
"\""timestamp\"":1779753915",12,2,0.8333333333333334,12,12,0.7222222222222223,1.0,2,0.8333333333333334,12,12,0.7222222222222223,1.0,1.0
"\""timestamp\"":1779753910",11,2,0.9090909090909091,11,11,0.8347107438016528,1.0,2,0.9090909090909091,11,11,0.8347107438016528,1.0,1.0
"\""timestamp\"":1779753921",17,3,0.5882352941176471,17,17,0.4463667820069205,1.0,3,0.5882352941176471,17,17,0.4463667820069205,1.0,1.0
"\""timestamp\"":1779753920",21,4,0.47619047619047616,21,21,0.41496598639455784,1.0,4,0.47619047619047616,21,21,0.4149659863945578,1.0,1.0
"\""timestamp\"":1779753919",11,3,0.8181818181818182,11,11,0.6859504132231407,1.0,3,0.8181818181818182,11,11,0.6859504132231407,1.0,1.0
"\""timestamp\"":1779753917",33,3,0.6363636363636364,33,33,0.4876033057851239,1.0,5,0.5151515151515151,33,33,0.35720844811753905,1.0,1.0
"\""timestamp\"":1779753916",20,4,0.5,20,20,0.385,1.0,4,0.5,20,20,0.385,1.0,1.0
"\""timestamp\"":1779753963",10,1,1.0,10,10,1.0,1.0,1,1.0,10,10,1.0,1.0,1.0
"\""timestamp\"":1779753964",16,3,0.5,16,16,0.4453125,1.0,3,0.5,16,16,0.4453125,1.0,1.0
"\""timestamp\"":1779753965",18,1,1.0,18,18,1.0,1.0,1,1.0,18,18,1.0,1.0,1.0
"\""timestamp\"":1779753966",10,3,0.7,10,10,0.5399999999999999,1.0,3,0.7,10,10,0.5399999999999999,1.0,1.0
"\""timestamp\"":1779753968",31,3,0.5806451612903226,31,31,0.4255983350676379,1.0,3,0.5806451612903226,31,31,0.4255983350676379,1.0,1.0
"\""timestamp\"":1779753923",12,4,0.5833333333333334,12,12,0.40277777777777785,1.0,4,0.5833333333333334,12,12,0.40277777777777785,1.0,1.0
"\""timestamp\"":1779753924",15,3,0.6,15,15,0.4755555555555555,1.0,4,0.6,15,15,0.43999999999999995,1.0,1.0
"\""timestamp\"":1779753926",10,2,0.9,10,10,0.8200000000000001,1.0,2,0.9,10,10,0.8200000000000001,1.0,1.0
"\""timestamp\"":1779753928",15,2,0.8,15,15,0.6800000000000002,1.0,3,0.8,15,15,0.6622222222222224,1.0,1.0
"\""timestamp\"":1779753930",19,2,0.5263157894736842,19,19,0.5013850415512464,1.0,2,0.5263157894736842,19,19,0.5013850415512464,1.0,1.0
"\""timestamp\"":1779753931",19,2,0.9473684210526315,19,19,0.9002770083102491,1.0,2,0.9473684210526315,19,19,0.9002770083102491,1.0,1.0
"\""timestamp\"":1779753934",13,3,0.6923076923076923,13,13,0.5266272189349112,1.0,3,0.6923076923076923,13,13,0.5266272189349112,1.0,1.0
"\""timestamp\"":1779753936",11,2,0.8181818181818182,11,11,0.7024793388429753,1.0,2,0.8181818181818182,11,11,0.7024793388429753,1.0,1.0
"\""timestamp\"":1779753938",31,5,0.5806451612903226,31,31,0.4276795005202914,1.0,5,0.5806451612903226,31,31,0.4276795005202914,1.0,1.0
"\""timestamp\"":1779753939",10,2,0.9,10,10,0.8200000000000001,1.0,2,0.9,10,10,0.8200000000000001,1.0,1.0
"\""timestamp\"":1779753940",21,2,0.5238095238095238,21,21,0.5011337868480725,1.0,3,0.47619047619047616,21,21,0.37414965986394555,1.0,1.0
"\""timestamp\"":1779753941",30,3,0.6333333333333333,30,30,0.5133333333333333,1.0,4,0.4,30,30,0.3266666666666667,1.0,1.0
"\""timestamp\"":1779753942",10,1,1.0,10,10,1.0,1.0,1,1.0,10,10,1.0,1.0,1.0
